"Wohntyp","Wohnzufriedenheit","FahrzeitRadDom"
"Partn.","sehr zufrieden","5-10"
"Eltern","zufrieden","15-20"
"WG","sehr zufrieden","10-15"
"allein","sehr zufrieden","2-5"
"WG","sehr zufrieden","2-5"
"allein","es ist okay","20-30"
"Eltern","sehr zufrieden","20-30"
"Wohnh.","zufrieden","15-20"
"WG","zufrieden","5-10"
"WG","zufrieden","10-15"
"Partn.","sehr zufrieden","10-15"
"Eltern","sehr zufrieden",NA
"allein","sehr zufrieden","10-15"
"WG","zufrieden","10-15"
"Wohnh.","sehr zufrieden","10-15"
"allein","sehr zufrieden","2-5"
"Partn.","(sehr) unzufr.",NA
"WG","sehr zufrieden","2-5"
"WG","(sehr) unzufr.","20-30"
"WG","es ist okay","5-10"
"Wohnh.","es ist okay","5-10"
"Wohnh.","es ist okay","5-10"
"WG","sehr zufrieden","2-5"
"allein","zufrieden","20-30"
"Eltern","zufrieden",NA
"allein","zufrieden","10-15"
"allein","zufrieden","20-30"
"WG","es ist okay","2-5"
"Eltern","es ist okay",NA
"WG","zufrieden","10-15"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","2-5"
"allein","zufrieden",NA
"Eltern","es ist okay",NA
"WG","zufrieden","<2"
"Eltern","sehr zufrieden",NA
"Wohnh.","zufrieden","2-5"
"allein","es ist okay","10-15"
"WG","zufrieden","5-10"
"WG","zufrieden","<2"
"Wohnh.","sehr zufrieden","10-15"
"allein","sehr zufrieden","10-15"
"WG","zufrieden","5-10"
"WG","sehr zufrieden","2-5"
"Wohnh.","sehr zufrieden","20-30"
"Eltern","sehr zufrieden",NA
"Wohnh.","es ist okay","2-5"
"Wohnh.","zufrieden","5-10"
"allein","zufrieden","2-5"
"allein","sehr zufrieden","20-30"
"WG","zufrieden","10-15"
"Eltern","zufrieden",NA
"allein","sehr zufrieden","5-10"
"Eltern","sehr zufrieden",NA
"WG","sehr zufrieden","10-15"
"Eltern","es ist okay","20-30"
"allein","zufrieden","5-10"
"WG","es ist okay","15-20"
"Eltern","sehr zufrieden","20-30"
"Eltern","es ist okay",NA
"Eltern","zufrieden",NA
"WG","sehr zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"allein","zufrieden","<2"
"allein","zufrieden","5-10"
"Eltern","sehr zufrieden",NA
"Wohnh.","sehr zufrieden","10-15"
"WG","sehr zufrieden","5-10"
"allein","zufrieden","20-30"
"Wohnh.","sehr zufrieden","10-15"
"WG","es ist okay","2-5"
"Wohnh.","es ist okay","5-10"
"Eltern","zufrieden",NA
"WG","sehr zufrieden","5-10"
"allein","zufrieden","20-30"
"allein","sehr zufrieden","5-10"
"allein","zufrieden","2-5"
"allein","es ist okay","20-30"
"WG","es ist okay","5-10"
"Eltern","sehr zufrieden",NA
"Eltern","sehr zufrieden",NA
"allein","es ist okay","<2"
"allein","sehr zufrieden","10-15"
"WG","zufrieden","15-20"
"Eltern","es ist okay",NA
"Eltern","zufrieden",">30"
"Eltern","sehr zufrieden","15-20"
"WG","sehr zufrieden","15-20"
"WG","(sehr) unzufr.","10-15"
"Eltern","(sehr) unzufr.",NA
"allein","zufrieden","2-5"
"Eltern","es ist okay",NA
"allein","zufrieden","2-5"
"WG","es ist okay","20-30"
"allein","zufrieden","<2"
"WG","zufrieden","15-20"
"Eltern","(sehr) unzufr.",NA
"allein","zufrieden","5-10"
"WG","es ist okay","10-15"
"WG","zufrieden","5-10"
"Partn.","zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"Eltern","zufrieden",NA
"allein","sehr zufrieden","5-10"
"WG","(sehr) unzufr.","20-30"
"Eltern","zufrieden",NA
"WG","zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"allein","zufrieden","5-10"
"allein","es ist okay",NA
"Eltern","es ist okay",">30"
"allein","es ist okay","15-20"
"Wohnh.","zufrieden","20-30"
"WG","sehr zufrieden","5-10"
"WG","es ist okay","15-20"
"WG","sehr zufrieden","5-10"
"WG","es ist okay","20-30"
"Eltern","zufrieden","20-30"
"Eltern","sehr zufrieden","10-15"
"WG","zufrieden",">30"
"allein","sehr zufrieden","2-5"
"Wohnh.","sehr zufrieden","10-15"
"Wohnh.","zufrieden","20-30"
"allein","sehr zufrieden",NA
"allein","sehr zufrieden","5-10"
"Partn.","sehr zufrieden","10-15"
"allein","sehr zufrieden","5-10"
"Eltern","zufrieden",NA
"allein","sehr zufrieden","5-10"
"allein","sehr zufrieden","10-15"
"Wohnh.","sehr zufrieden","10-15"
"Eltern","sehr zufrieden",NA
"Eltern","es ist okay","15-20"
"WG","sehr zufrieden","<2"
"WG","sehr zufrieden","<2"
"allein","zufrieden",NA
"WG","es ist okay","5-10"
"Partn.","sehr zufrieden",NA
"Wohnh.","es ist okay","2-5"
"allein","zufrieden","<2"
"WG","sehr zufrieden","10-15"
"allein","sehr zufrieden","10-15"
"WG","zufrieden","2-5"
"WG","zufrieden","2-5"
"Eltern","sehr zufrieden",NA
"Eltern","zufrieden",NA
"allein","sehr zufrieden","10-15"
"Eltern","sehr zufrieden","10-15"
"WG","zufrieden","5-10"
"allein","es ist okay","5-10"
"WG","zufrieden","10-15"
"Eltern","zufrieden","20-30"
"WG","es ist okay","5-10"
"WG","es ist okay","10-15"
"allein","sehr zufrieden","5-10"
"Wohnh.","zufrieden","5-10"
"Eltern","zufrieden",NA
"Eltern","sehr zufrieden",NA
"Wohnh.","zufrieden","<2"
"allein","sehr zufrieden","15-20"
"WG","zufrieden","10-15"
"WG","sehr zufrieden","<2"
"allein","zufrieden","10-15"
"allein","es ist okay","10-15"
"allein","zufrieden","20-30"
"allein","zufrieden",NA
"WG","sehr zufrieden","5-10"
"allein","sehr zufrieden","10-15"
"Wohnh.","zufrieden","10-15"
"WG","zufrieden","2-5"
"Eltern","sehr zufrieden","15-20"
"allein","sehr zufrieden","10-15"
"WG","zufrieden","2-5"
"WG","sehr zufrieden","10-15"
"WG","sehr zufrieden","2-5"
"WG","sehr zufrieden","5-10"
"Partn.","es ist okay","5-10"
"WG","(sehr) unzufr.","20-30"
"WG","zufrieden","10-15"
"Wohnh.","sehr zufrieden","10-15"
"Wohnh.","zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"Wohnh.","es ist okay","10-15"
"allein","zufrieden","5-10"
"Partn.","zufrieden",NA
"Eltern","sehr zufrieden","10-15"
"Wohnh.","(sehr) unzufr.","5-10"
"allein","zufrieden","10-15"
"WG","es ist okay","5-10"
"WG","zufrieden","5-10"
"Eltern","sehr zufrieden",NA
"Eltern","es ist okay","15-20"
"Wohnh.","zufrieden","20-30"
"Eltern","zufrieden",NA
"WG","sehr zufrieden","2-5"
"Wohnh.","(sehr) unzufr.","10-15"
"allein","(sehr) unzufr.","5-10"
"Wohnh.","zufrieden","20-30"
"Eltern","es ist okay",NA
"Eltern","es ist okay",NA
"Eltern","zufrieden",NA
"allein","es ist okay","15-20"
"WG","zufrieden","5-10"
"WG","sehr zufrieden","2-5"
"WG","zufrieden","15-20"
"Partn.","zufrieden","10-15"
"Partn.","sehr zufrieden","<2"
"allein","sehr zufrieden","2-5"
"allein","es ist okay","10-15"
"Eltern","sehr zufrieden",NA
"Partn.","(sehr) unzufr.","15-20"
"WG","es ist okay","5-10"
"WG","es ist okay","2-5"
"WG","zufrieden","20-30"
"WG","sehr zufrieden","2-5"
"Eltern","sehr zufrieden",NA
"Eltern","zufrieden","10-15"
"WG","zufrieden","10-15"
"allein","sehr zufrieden","2-5"
"WG","sehr zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"Wohnh.","es ist okay","10-15"
"allein","zufrieden","15-20"
"allein","sehr zufrieden","15-20"
"allein","zufrieden","5-10"
"WG","zufrieden","15-20"
"Eltern","sehr zufrieden",NA
"allein","zufrieden","10-15"
"WG","es ist okay","5-10"
"WG","sehr zufrieden","10-15"
"WG","sehr zufrieden","10-15"
"Partn.","zufrieden","10-15"
"WG","es ist okay","20-30"
"Wohnh.","zufrieden","2-5"
"Eltern","es ist okay",NA
"WG","zufrieden",">30"
"Eltern","zufrieden",NA
"WG","sehr zufrieden","10-15"
"WG","zufrieden","20-30"
"allein","es ist okay","5-10"
"WG","zufrieden","2-5"
"allein","(sehr) unzufr.","5-10"
"Wohnh.","zufrieden","10-15"
"WG","zufrieden","5-10"
"allein","sehr zufrieden","2-5"
"WG","es ist okay","5-10"
"Wohnh.","zufrieden","10-15"
"WG","sehr zufrieden","2-5"
"allein","sehr zufrieden","2-5"
"Partn.","sehr zufrieden","5-10"
"Eltern","es ist okay","15-20"
"Partn.","zufrieden","5-10"
"allein","sehr zufrieden","15-20"
"WG","zufrieden","10-15"
"allein","zufrieden","2-5"
"WG","sehr zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"WG","sehr zufrieden","2-5"
"WG","zufrieden","10-15"
"Wohnh.","(sehr) unzufr.","10-15"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","10-15"
"allein","zufrieden","20-30"
"WG","es ist okay","<2"
"WG","sehr zufrieden","5-10"
"allein","sehr zufrieden","10-15"
"WG","es ist okay","10-15"
"allein","zufrieden","5-10"
"Eltern","zufrieden","15-20"
"WG","(sehr) unzufr.",NA
"Partn.","es ist okay","15-20"
"WG","(sehr) unzufr.","10-15"
"WG","zufrieden","20-30"
"WG","sehr zufrieden","10-15"
"Wohnh.","zufrieden","15-20"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","5-10"
"Eltern","sehr zufrieden",NA
"allein","es ist okay","2-5"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","5-10"
"WG","(sehr) unzufr.","5-10"
"allein","sehr zufrieden","2-5"
"WG","zufrieden","5-10"
"WG","zufrieden","5-10"
"Eltern","zufrieden",">30"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","2-5"
"WG","zufrieden","10-15"
"Wohnh.","sehr zufrieden","5-10"
"allein","sehr zufrieden","2-5"
"Eltern","sehr zufrieden","5-10"
"WG","es ist okay","10-15"
"WG","es ist okay","<2"
"Eltern","zufrieden","20-30"
"allein","zufrieden","2-5"
"WG","zufrieden","10-15"
"WG","sehr zufrieden","5-10"
"WG","sehr zufrieden","15-20"
"Eltern","sehr zufrieden",NA
"allein","zufrieden","5-10"
"Partn.","sehr zufrieden","5-10"
"Wohnh.","zufrieden","5-10"
"Wohnh.","sehr zufrieden","<2"
"allein","zufrieden","10-15"
"allein","es ist okay","15-20"
"WG","sehr zufrieden","5-10"
"WG","sehr zufrieden","10-15"
"WG","(sehr) unzufr.","10-15"
"allein","zufrieden","20-30"
"WG","es ist okay","<2"
"WG","zufrieden","5-10"
"WG","es ist okay","20-30"
"WG","es ist okay","5-10"
"Wohnh.","sehr zufrieden","5-10"
"Partn.","sehr zufrieden","5-10"
"WG","zufrieden","5-10"
"WG","zufrieden","5-10"
"WG","sehr zufrieden","2-5"
"WG","zufrieden","5-10"
"allein","(sehr) unzufr.","5-10"
"allein","sehr zufrieden","10-15"
"allein","es ist okay","5-10"
"Wohnh.","zufrieden","5-10"
"Eltern","es ist okay",NA
"allein","zufrieden","10-15"
"allein","es ist okay","20-30"
"allein","zufrieden","2-5"
"allein","zufrieden","5-10"
"allein","zufrieden","2-5"
"Wohnh.","sehr zufrieden","5-10"
"allein","es ist okay","20-30"
"Partn.","es ist okay","2-5"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","5-10"
"WG","zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"WG","zufrieden","5-10"
"WG","zufrieden","2-5"
"WG","zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"WG","es ist okay","10-15"
"Wohnh.","es ist okay","10-15"
"Wohnh.","sehr zufrieden","15-20"
"WG","sehr zufrieden","2-5"
"WG","zufrieden","2-5"
"WG","zufrieden","5-10"
"Eltern","es ist okay",NA
"WG","zufrieden","<2"
"WG","sehr zufrieden","5-10"
"allein","es ist okay","10-15"
"Wohnh.","zufrieden","2-5"
"allein","zufrieden","5-10"
"allein","(sehr) unzufr.","20-30"
"allein","zufrieden","5-10"
"WG","zufrieden","10-15"
"WG","sehr zufrieden","10-15"
"WG","sehr zufrieden","5-10"
"WG","sehr zufrieden","<2"
"allein","(sehr) unzufr.","5-10"
"allein","zufrieden","20-30"
"allein","(sehr) unzufr.","5-10"
"WG","zufrieden","15-20"
"Eltern","zufrieden",NA
"WG","es ist okay","5-10"
"Eltern","zufrieden","20-30"
"allein","sehr zufrieden","2-5"
"allein","zufrieden","20-30"
"WG","zufrieden","10-15"
"WG","zufrieden","5-10"
"allein","zufrieden","2-5"
"allein","zufrieden","5-10"
"Eltern","zufrieden","20-30"
"Wohnh.","zufrieden","<2"
"WG","sehr zufrieden","2-5"
"Eltern","sehr zufrieden",NA
"allein","es ist okay","5-10"
"allein","zufrieden","15-20"
"WG","(sehr) unzufr.","15-20"
"WG","zufrieden","10-15"
"WG","zufrieden","10-15"
"WG","zufrieden","5-10"
"Eltern","zufrieden",NA
"allein","zufrieden","2-5"
"allein","es ist okay","10-15"
"WG","zufrieden","5-10"
"WG","es ist okay","10-15"
"WG","zufrieden","20-30"
"WG","zufrieden","5-10"
"Eltern","es ist okay",NA
"WG","zufrieden","10-15"
"WG","sehr zufrieden","<2"
"WG","sehr zufrieden","<2"
"Eltern","sehr zufrieden","5-10"
"Eltern","zufrieden",">30"
"WG","zufrieden","<2"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","5-10"
"allein","es ist okay","5-10"
"WG","es ist okay","10-15"
"allein","sehr zufrieden","5-10"
"WG","es ist okay","2-5"
"allein","es ist okay","2-5"
"WG","sehr zufrieden","2-5"
"Wohnh.","zufrieden","5-10"
"allein","sehr zufrieden","2-5"
"Wohnh.","sehr zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"Eltern","sehr zufrieden",NA
"WG","zufrieden","10-15"
"allein","sehr zufrieden","10-15"
"allein","sehr zufrieden","15-20"
"allein","sehr zufrieden","<2"
"allein","es ist okay","20-30"
"WG","zufrieden","5-10"
"Wohnh.","sehr zufrieden","15-20"
"Eltern","sehr zufrieden",NA
"WG","(sehr) unzufr.","5-10"
"WG","sehr zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"Partn.","(sehr) unzufr.",">30"
"allein","sehr zufrieden","5-10"
"allein","sehr zufrieden","2-5"
"WG","sehr zufrieden","20-30"
"WG","es ist okay","<2"
"WG","sehr zufrieden","5-10"
"Eltern","sehr zufrieden","5-10"
"Eltern","es ist okay",">30"
"WG","sehr zufrieden","5-10"
"Eltern","zufrieden","20-30"
"WG","sehr zufrieden","10-15"
"WG","zufrieden","<2"
"Eltern","zufrieden","2-5"
"Eltern","sehr zufrieden","<2"
"Eltern","sehr zufrieden","5-10"
"Partn.","zufrieden","15-20"
"Eltern","es ist okay",NA
"WG","zufrieden","15-20"
"allein","zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"allein","es ist okay","10-15"
"WG","zufrieden","5-10"
"allein","es ist okay","10-15"
"WG","sehr zufrieden","<2"
"Eltern","es ist okay",NA
"Wohnh.","(sehr) unzufr.","20-30"
"Wohnh.","zufrieden","15-20"
"WG","zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"WG","zufrieden","2-5"
"Wohnh.","es ist okay","10-15"
"Wohnh.","zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"allein","sehr zufrieden","5-10"
"allein","sehr zufrieden","10-15"
"WG","zufrieden","15-20"
"WG","zufrieden","5-10"
"Eltern","sehr zufrieden","15-20"
"allein","(sehr) unzufr.","15-20"
"Eltern","(sehr) unzufr.",NA
"Wohnh.","zufrieden","10-15"
"Partn.","zufrieden","15-20"
"Eltern","sehr zufrieden",NA
"Eltern","es ist okay",NA
"allein","zufrieden","10-15"
"WG","zufrieden","5-10"
"WG","sehr zufrieden","10-15"
"WG","es ist okay","5-10"
"Wohnh.","zufrieden","15-20"
"Eltern","zufrieden",NA
"WG","zufrieden","20-30"
"Wohnh.","zufrieden","5-10"
"WG","zufrieden","15-20"
"Eltern","zufrieden","20-30"
"WG","sehr zufrieden","10-15"
"WG","sehr zufrieden","5-10"
"allein","es ist okay","10-15"
"WG","sehr zufrieden","5-10"
"WG","es ist okay","5-10"
"Eltern","zufrieden",">30"
"allein","zufrieden","5-10"
"Wohnh.","es ist okay","5-10"
"allein","zufrieden","5-10"
"WG","sehr zufrieden","5-10"
"WG","sehr zufrieden","10-15"
"WG","zufrieden","10-15"
"WG","es ist okay","5-10"
"allein","sehr zufrieden","5-10"
"Eltern","(sehr) unzufr.",">30"
